"Location_skey";"Country";"State";"Region";"City";"Address";"PostalCode";"District";"SubDistrict";"SubSubDistrict";"SubSubSubDistrict";"DistrictCode";"SubDistrictCode";"SubSubDistrictCode";"SubSubSubDistrictCode";"Latitude";"Longitude";"IsGarage";"NameGarage"
"22551";"NLD";"NH";"Amsterdam";"Amsterdam";"Hillegomstraat 33";"1058LP";"Zuid";"Hoofddorppleinbuurt";"Westlandgrachtbuurt";"Westlandgrachtbuurt";"K";"K44";"K44b";"-1";52.352107;4.847786;NA;NA
"22808";"NLD";"NH";"Amsterdam";"Amsterdam";"Douwes Dekkerstraat 18";"1053SX";"West";"Da Costabuurt";"Da Costabuurt Noord";"Da Costabuurt Noord";"E";"E17";"E17a";"-1";52.368828;4.865774;NA;NA
"22817";"NLD";"NH";"Amsterdam";"Amsterdam";"Rijnsburgstraat 91";"1059AT";"Zuid";"Hoofddorppleinbuurt";"Aalsmeerwegbuurt Oost";"Aalsmeerwegbuurt Oost";"K";"K44";"K44d";"-1";52.346668;4.847073;NA;NA
"22820";"NLD";"NH";"Amsterdam";"Amsterdam";"J.F. Berghoefplantsoen 28";"1064DE";"Nieuw West";"Slotermeer Zuidwest";"Buurt 4 Oost";"Buurt 4 Oost";"F";"F77";"F77c";"-1";52.374059;4.819245;NA;NA
"23149";"NLD";"NH";"Amsterdam";"Amsterdam";"Mauritskade 55";"1092AD";"Oost";"Oosterparkbuurt";"Oosterparkbuurt Zuidoost";"Oosterparkbuurt Zuidoost";"M";"M28";"M28c";"-1";52.361613;4.917844;NA;NA
"47964";"NLD";"NH";"Amsterdam";"Amsterdam";"Diemerparklaan 79";"1087GN";"Centrum";"Grachtengordel West";"Felix Meritisbuurt";"Felix Meritisbuurt";"A";"A02";"A02c";"-1";52.3566;4.997287;NA;NA
"48078";"NLD";"NH";"Amsterdam";"Amsterdam";"Plantage Parklaan 21";"1018SV";"Centrum";"Grachtengordel Zuid";"Spiegelbuurt";"Spiegelbuurt";"A";"A03";"A03a";"-1";52.368219;4.910331;NA;NA
"46816";"NLD";"NH";"Amsterdam";"Amsterdam";"Lanseloetstraat 4";"1055BD";"Centrum";"Jordaan";"Bloemgrachtbuurt";"Bloemgrachtbuurt";"A";"A06";"A06c";"-1";52.376661;4.849971;NA;NA
"46848";"NLD";"NH";"Amsterdam";"Amsterdam";"Slikkerveerstraat 5";"1107VJ";"Zuidoost";"Gein";"Gein Zuidoost";"Gein Zuidoost";"T";"T97";"T97d";"-1";52.292175;4.973147;NA;NA
"46891";"NLD";"NH";"Amsterdam";"Amsterdam";"Adriaan Kluitstraat 9";"1065XS";"Nieuw West";"Slotervaart Noord";"Emanuel van Meterenbuurt";"Emanuel van Meterenbuurt";"F";"F85";"F85b";"-1";52.362907;4.832536;NA;NA
"47002";"NLD";"NH";"Amsterdam";"Amsterdam";"Saxen Weimarlaan 41";"1075BZ";"West";"Chassébuurt";"De Wester Quartier";"De Wester Quartier";"E";"E75";"E75c";"-1";52.352033;4.857317;NA;NA
"47163";"NLD";"NH";"Amsterdam";"Amsterdam";"Deurloostraat 90";"1078JH";"Oost";"IJburg West";"Haveneiland Zuidwest Rieteiland West";"Haveneiland Zuidwest Rieteiland West";"M";"M35";"M35c";"-1";52.346525;4.88864;NA;NA
"47211";"NLD";"NH";"Amsterdam";"Amsterdam";"Voornestraat 23";"1025NK";"Noord";"Buikslotermeer";"Buikslotermeer Noord";"Buikslotermeer Noord";"N";"N69";"N69m";"-1";52.392858;4.929566;NA;NA
"47428";"NLD";"NH";"Amsterdam";"Amsterdam";"Ruysdaelkade 173";"1072AT";"Zuid";"Nieuwe Pijp";"Cornelis Troostbuurt";"Cornelis Troostbuurt";"K";"K25";"K25d";"-1";52.352736;4.886848;NA;NA
"43380";"NLD";"NH";"Amsterdam";"Amsterdam";"Joan Muyskenweg 6";"1096CJ";"Nieuw West";"Osdorp Midden";"Osdorp Midden Zuid";"Cornelis Schuytbuurt";"F";"F82";"F82b";"-1";52.336467;4.912667;NA;NA
"43427";"NLD";"NH";"Amsterdam";"Amsterdam";"Elisabeth Wolffstraat 82";"1053TW";"West";"Da Costabuurt";"Da Costabuurt Noord";"Da Costabuurt Noord";"E";"E17";"E17a";"-1";52.368874;4.867895;NA;NA
"43850";"NLD";"NH";"Amsterdam";"Amsterdam";"Kermispad 95";"1033ZA";"Noord";"Noordelijke IJ-oevers Oost";"Cornelis Douwesterrein";"Cornelis Douwesterrein";"N";"N71";"N71e";"-1";52.417006;4.884455;NA;NA
"44018";"NLD";"NH";"Amsterdam";"Amsterdam";"Kazernestraat 2";"1018CC";"Centrum";"Grachtengordel Zuid";"Spiegelbuurt";"Spiegelbuurt";"A";"A03";"A03a";"-1";52.364455;4.921083;NA;NA
"44335";"NLD";"NH";"Amsterdam";"Amsterdam";"Gaandeweg 71";"1103SG";"Zuidoost";"Bijlmer Oost (E,G,K)";"E-buurt";"E-buurt";"T";"T94";"T94a";"-1";52.322531;4.980133;NA;NA
"45242";"NLD";"NH";"Amsterdam";"Amsterdam";"Dirk Sonoystraat 171";"1067XX";"Nieuw West";"Eendracht";"Buurt 10";"Buurt 10";"F";"F79";"F79b";"-1";52.377646;4.804121;NA;NA
"54006";"NLD";"NH";"Amsterdam";"Amsterdam";"Centimehof 7";"1060SN";"Nieuw West";"Middelveldsche Akerpolder";"De Aker Oost";"De Aker Oost";"F";"F84";"F84c";"-1";52.346361;4.787017;NA;NA
"54015";"NLD";"NH";"Amsterdam";"Amsterdam";"Balistraat 141";"1094JK";"Oost";"Indische Buurt West";"Noordwestkwadrant Indische buurt Noord";"Noordwestkwadrant Indische buurt Noord";"M";"M31";"M31a";"-1";52.363217;4.939147;NA;NA
"54016";"NLD";"NH";"Amsterdam";"Amsterdam";"Mijehof 339";"1106HJ";"Zuidoost";"Gein";"Gein Noordoost";"Gein Noordoost";"T";"T97";"T97c";"-1";52.301266;4.971986;NA;NA
"54300";"NLD";"NH";"Amsterdam";"Amsterdam";"Sierenborch 10";"1043AX";"Nieuw West";"Bedrijventerrein Sloterdijk";"Sloterdijk II";"Sloterdijk II";"F";"F11";"F11a";"-1";52.390679;4.804388;NA;NA
"44659";"NLD";"NH";"Amsterdam";"Amsterdam";"Ambonplein 3";"1094PW";"Oost";"Indische Buurt West";"Noordwestkwadrant Indische buurt Noord";"Noordwestkwadrant Indische buurt Noord";"M";"M31";"M31a";"-1";52.360073;4.937238;NA;NA
"44661";"NLD";"NH";"Amsterdam";"Amsterdam";"Mijehof 114";"1106HP";"Zuidoost";"Gein";"Gein Noordoost";"Gein Noordoost";"T";"T97";"T97c";"-1";52.30159;4.96696;NA;NA
"42320";"NLD";"NH";"Amsterdam";"Amsterdam";"Kastelenstraat 73";"1083CC";"Zuid";"Buitenveldert Oost";"Buitenveldert Oost Midden";"Buitenveldert Oost Midden";"K";"K91";"K91b";"-1";52.32606;4.882375;NA;NA
"42788";"NLD";"NH";"Amsterdam";"Amsterdam";"Wibautstraat 24";"1091GM";"Zuidoost";"Amstel III Bullewijk";"Amstel III deel A B Noord";"Amstel III deel A B Noord";"T";"T92";"T92b";"-1";52.41581;4.966991;NA;NA
"23290";"NLD";"NH";"Amsterdam";"Amsterdam";"Joan Melchior Kemperstraat 121";"1051TN";"West";"Centrale Markt";"Bedrijvencentrum Westerkwartier";"Bedrijvencentrum Westerkwartier";"E";"E15";"E15c";"-1";52.384615;4.870314;NA;NA
"23443";"NLD";"NH";"Amsterdam";"Amsterdam";"Platenwagenweg 17";"1033WP";"Noord";"Noordelijke IJ-oevers Oost";"Cornelis Douwesterrein";"Cornelis Douwesterrein";"N";"N71";"N71e";"-1";52.415621;4.88591;NA;NA
"45763";"NLD";"NH";"Amsterdam";"Amsterdam";"Valeriusstraat 171";"1075EV";"West";"Chassébuurt";"De Wester Quartier";"De Wester Quartier";"E";"E75";"E75c";"-1";52.352407;4.862197;NA;NA
"55854";"NLD";"NH";"Amsterdam";"Amsterdam";"Burg Hogguerstraat 49";"1064CK";"Centrum";"Burgwallen Nieuwe Zijde";"Hemelrijk";"Hemelrijk";"A";"A01";"A01b";"-1";52.37191;4.83059;NA;NA
"56322";"NLD";"NH";"Amsterdam";"Amsterdam";"Watergangseweg 25";"1023VM";"Noord";"Nieuwendammerdijk Buiksloterdijk";"Nieuwendammerdijk Oost";"Nieuwendammerdijk Oost";"N";"N64";"N64d";"-1";52.393295;4.944093;NA;NA
"56329";"NLD";"NH";"Amsterdam";"Amsterdam";"Geervliet 40";"1082GC";"Centrum";"De Weteringschans";"Den Texbuurt";"Den Texbuurt";"A";"A07";"A07f";"-1";52.330512;4.879684;NA;NA
"49286";"NLD";"NH";"Amsterdam";"Amsterdam";"Jacob Tilstraat 47";"1067PP";"Nieuw West";"Eendracht";"Buurt 10";"Buurt 10";"F";"F79";"F79b";"-1";52.373629;4.801918;NA;NA
